,text,lemma,gender,number,animate,count
474,ארונו,ארון,Masc,Plur,False,2
475,ארונו,ארון,Masc,Sing,False,4
476,ארונות,ארון,Masc,Plur,False,709
477,ארונותי,ארון,Fem,Plur,False,19
478,ארונותי,ארון,Masc,Plur,False,18
479,ארונים,ארון,Masc,Plur,False,10
480,ארועי,ארוע,Masc,Plur,False,2
481,ארז,ארז,Masc,Sing,False,227
482,ארזי,ארז,Masc,Plur,False,13
483,ארזי,ארז,Masc,Sing,False,2
484,ארזים,ארז,Fem,Plur,False,2
485,ארזים,ארז,Masc,Plur,False,170
486,ארזים,ארז,Masc,Sing,False,22
487,ארטיפקט,ארטיפקט,Masc,Sing,False,6
488,ארטיפקטים,ארטיפקט,Masc,Plur,False,54
489,אריג,אריג,Masc,Sing,False,299
490,אריגה,אריגה,Fem,Sing,False,603
491,אריגי,אריג,Masc,Plur,False,65
492,אריגים,אריג,Masc,Plur,False,365
493,אריגת,אריגה,Fem,Sing,False,176
494,אריה,אריה,Fem,Sing,True,6
495,אריה,אריה,Masc,Sing,True,1992
496,אריות,אריה,Fem,Plur,True,490
497,אריות,אריה,Masc,Plur,True,2390
498,אריותי,אריה,Fem,Plur,True,7
499,אריותי,אריה,Masc,Plur,True,27
500,אריח,אריח,Masc,Sing,False,166
501,אריחי,אריח,Masc,Plur,False,414
502,אריחים,אריח,Masc,Plur,False,625
503,אריית,אריה,Fem,Sing,True,12
504,אריתמטיקה,אריתמטיקה,Fem,Sing,False,501
505,אריתמטיקת,אריתמטיקה,Fem,Sing,False,11
506,ארכיב,ארכיב,Masc,Sing,False,313
507,ארכיבי,ארכיב,Masc,Plur,False,5
508,ארכיבים,ארכיב,Masc,Plur,False,36
509,ארכיון,ארכיון,Masc,Sing,False,8802
510,ארכיונ,ארכיון,Masc,Sing,False,406
511,ארכיונאות,ארכיון,Fem,Plur,False,41
512,ארכיונאות,ארכיון,Fem,Sing,False,8
513,ארכיוני,ארכיון,Masc,Plur,False,245
514,ארכיוני,ארכיון,Masc,Sing,False,2
515,ארכיונים,ארכיון,Masc,Plur,False,1094
516,ארנ,ארן,Masc,Sing,False,42
517,ארנבון,ארנבון,Masc,Sing,True,189
518,ארנבוני,ארנבון,Masc,Plur,True,16
519,ארנבונים,ארנבון,Masc,Plur,True,162
520,ארנונה,ארנונה,Fem,Sing,False,506
521,ארנות,ארן,Fem,Plur,False,2
522,ארנק,ארנק,Masc,Sing,False,425
523,ארץ,ארץ,Fem,Sing,False,78995
524,ארץ,ארץ,Masc,Sing,False,258
525,ארצ,ארץ,Fem,Sing,False,3766
526,ארצ,ארץ,Masc,Sing,False,6
527,ארצות,ארץ,Fem,Plur,False,37430
528,ארצותי,ארץ,Fem,Plur,False,244
529,ארצותי,ארץ,Masc,Plur,False,4
530,ארצכ,ארץ,Masc,Sing,False,2
531,ארצנ,ארץ,Masc,Sing,False,2
532,אש,אש,Fem,Sing,False,24936
533,אש,אש,Masc,Sing,False,34
534,אשד,אשד,Masc,Sing,False,28
535,אשדי,אשד,Masc,Plur,False,2
536,אשדים,אשד,Masc,Plur,False,19
537,אשה,איש,Fem,Sing,True,4688
538,אשוח,אשוח,Masc,Sing,False,573
539,אשוחים,אשוח,Masc,Plur,False,14
540,אשור,אשור,Masc,Sing,False,133
541,אשורי,אשור,Masc,Sing,False,10
542,אשורים,אשור,Masc,Plur,False,563
543,אשי,אש,Masc,Plur,False,5
544,אשי,אש,Masc,Sing,False,11
545,אשיות,אש,Fem,Sing,False,10
546,אשים,איש,Fem,Sing,True,6
547,אשים,איש,Masc,Sing,True,43
548,אשל,אשל,Masc,Sing,False,147
549,אשלג,אשלג,Masc,Sing,False,130
550,אשלגן,אשלגן,Masc,Sing,False,1337
551,אשליותי,אשל,Fem,Plur,False,6
552,אשליותי,אשל,Masc,Plur,False,2
553,אשלים,אשל,Masc,Plur,False,78
554,אשלים,אשל,Masc,Sing,False,16
555,אשמה,אשמה,Fem,Sing,False,3201
556,אשמות,אשמה,Fem,Plur,False,1811
557,אשמת,אשמה,Fem,Sing,False,2976
558,אשפה,אשפה,Fem,Sing,False,1221
559,אשפוז,אשפוז,Masc,Sing,False,1958
560,אשפוזי,אשפוז,Masc,Plur,False,14
561,אשפוזי,אשפוז,Masc,Sing,False,2
562,אשפוזים,אשפוז,Masc,Plur,False,153
563,אשפת,אשפה,Fem,Sing,False,60
564,אשרה,אשרה,Fem,Sing,False,613
565,אשרור,אשרור,Masc,Sing,False,704
566,אשרי,אש,Masc,Plur,False,15
567,אשרת,אשרה,Fem,Sing,False,668
568,אשת,איש,Fem,Sing,True,35741
569,אשתי,איש,Fem,Sing,True,13
571,אתמולים,אתמול,Masc,Plur,False,8
572,אתנחתא,אתנחתא,Fem,Sing,False,118
573,אתנחתא,אתנחתא,Masc,Sing,False,3
574,אתר,אתר,Masc,Sing,False,175322
575,אתרי,אתר,Masc,Plur,False,10849
576,אתרים,אתר,Masc,Plur,False,15058
577,בבה,בבה,Fem,Sing,False,2
578,בגד,בגד,Masc,Sing,False,1373
